State,Hospital_Count
Maharashtra,4807
Gujarat,3807
Uttar Pradesh,3158
Tamil Nadu,2399
Karnataka,2226
Haryana,1669
Andhra Pradesh,1380
Rajasthan,1209
Punjab,1201
Telangana,1175
West Bengal,1164
Bihar,1039
Madhya Pradesh,899
Kerala,890
Odisha,718
Himachal Pradesh,485
Jharkhand,478
Chhattisgarh,445
Uttarakhand,390
Assam,183
Jammu and Kashmir,96
Mizoram,86
Goa,84
Meghalaya,62
Chandigarh,60
Puducherry,47
Tripura,41
Manipur,19
Dadra and Nagar Haveli,18
Nagaland,14
Arunachal Pradesh,10
Andaman and Nicobar Islands,5
Daman and Diu,5
Sikkim,2
Lakshadweep,1
North Twenty Four Parganas,1
