Year,Prevalence_IHME,Prevalence_IHME_Lower,Prevalence_IHME_Upper,Source_Prevalence,Total_Diabetes_Cases_IHME
2010,0.0497845930391841,0.0452567980075487,0.0543195305311859,IHME GBD 2023,61304488.57897957
2011,0.0518254564692696,0.0472954597759029,0.0564232755826696,IHME GBD 2023,64821414.3779252
2012,0.054400760463381,0.0498410938217225,0.0591552804580616,IHME GBD 2023,69070716.94542976
2013,0.0571599187483796,0.052338902478516004,0.0621412165515638,IHME GBD 2023,73629259.14190221
2014,0.0597244669806147,0.0546911399635533,0.0650227467445826,IHME GBD 2023,78013435.70973769
2015,0.0616869201131204,0.0564763046536341,0.0671917455691701,IHME GBD 2023,81671473.439319
2016,0.0634113986701423,0.0580890519178692,0.0691130445055652,IHME GBD 2023,85052412.54458508
2017,0.0653882138947974,0.0598945185797785,0.0713066147695874,IHME GBD 2023,88802026.33695388
2018,0.0674114055151634,0.0616947834454376,0.0735343462792976,IHME GBD 2023,92644864.86117974
2019,0.06925801379709,0.0633244667093413,0.0755509408024494,IHME GBD 2023,96267992.87644592
2020,0.0706373194515016,0.0645322118027469,0.077016828511335,IHME GBD 2023,99214497.24773458
2021,0.0707712246264231,0.064301372068121,0.0771816520000883,IHME GBD 2023,100322799.93534727
