indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'SH.XPD.CHEX.GD.ZS', 'value': 'Current health expenditure (% of GDP)'}","{'id': 'IN', 'value': 'India'}",IND,2024,,,,2
"{'id': 'SH.XPD.CHEX.GD.ZS', 'value': 'Current health expenditure (% of GDP)'}","{'id': 'IN', 'value': 'India'}",IND,2023,3.33944035,,,2
"{'id': 'SH.XPD.CHEX.GD.ZS', 'value': 'Current health expenditure (% of GDP)'}","{'id': 'IN', 'value': 'India'}",IND,2022,3.39623499,,,2
"{'id': 'SH.XPD.CHEX.GD.ZS', 'value': 'Current health expenditure (% of GDP)'}","{'id': 'IN', 'value': 'India'}",IND,2021,3.34680939,,,2
"{'id': 'SH.XPD.CHEX.GD.ZS', 'value': 'Current health expenditure (% of GDP)'}","{'id': 'IN', 'value': 'India'}",IND,2020,3.34146094,,,2
"{'id': 'SH.XPD.CHEX.GD.ZS', 'value': 'Current health expenditure (% of GDP)'}","{'id': 'IN', 'value': 'India'}",IND,2019,2.95299792,,,2
"{'id': 'SH.XPD.CHEX.GD.ZS', 'value': 'Current health expenditure (% of GDP)'}","{'id': 'IN', 'value': 'India'}",IND,2018,2.8584938,,,2
"{'id': 'SH.XPD.CHEX.GD.ZS', 'value': 'Current health expenditure (% of GDP)'}","{'id': 'IN', 'value': 'India'}",IND,2017,2.93597651,,,2
"{'id': 'SH.XPD.CHEX.GD.ZS', 'value': 'Current health expenditure (% of GDP)'}","{'id': 'IN', 'value': 'India'}",IND,2016,3.50430417,,,2
"{'id': 'SH.XPD.CHEX.GD.ZS', 'value': 'Current health expenditure (% of GDP)'}","{'id': 'IN', 'value': 'India'}",IND,2015,3.59565973,,,2
"{'id': 'SH.XPD.CHEX.GD.ZS', 'value': 'Current health expenditure (% of GDP)'}","{'id': 'IN', 'value': 'India'}",IND,2014,3.61956549,,,2
"{'id': 'SH.XPD.CHEX.GD.ZS', 'value': 'Current health expenditure (% of GDP)'}","{'id': 'IN', 'value': 'India'}",IND,2013,3.74944186,,,2
"{'id': 'SH.XPD.CHEX.GD.ZS', 'value': 'Current health expenditure (% of GDP)'}","{'id': 'IN', 'value': 'India'}",IND,2012,3.32935286,,,2
"{'id': 'SH.XPD.CHEX.GD.ZS', 'value': 'Current health expenditure (% of GDP)'}","{'id': 'IN', 'value': 'India'}",IND,2011,3.24634218,,,2
"{'id': 'SH.XPD.CHEX.GD.ZS', 'value': 'Current health expenditure (% of GDP)'}","{'id': 'IN', 'value': 'India'}",IND,2010,3.33625913,,,2
