Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,fetched_at
227993,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1991,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.8 [4.2-7.9],5.8,4.2,7.9,,2017-11-17T08:32:33+01:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1178238,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1985,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.5 [2.2-7.9],4.5,2.2,7.9,,2017-11-17T08:25:42+01:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1330052,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2003,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.9 [5.7-10.4],7.9,5.7,10.4,,2017-11-17T08:25:42+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1393310,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2010,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.1 [5.5-11.3],8.1,5.5,11.3,,2017-11-17T08:28:39+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1393331,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1982,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.0 [1.6-7.8],4.0,1.6,7.8,,2017-11-17T08:25:42+01:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1693704,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1990,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.4 [3.2-8.4],5.4,3.2,8.4,,2017-11-17T08:25:42+01:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
2258929,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1999,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.2 [5.6-9.0],7.2,5.6,9.0,,2017-11-17T08:33:58+01:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3020130,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2006,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.9 [5.7-10.4],7.9,5.7,10.4,,2017-11-17T08:28:38+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3470042,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1988,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.3 [3.6-7.6],5.3,3.6,7.6,,2017-11-17T08:32:02+01:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3514431,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2001,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.5 [5.4-10.1],7.5,5.4,10.1,,2017-11-17T08:25:42+01:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3519846,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1987,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.5 [3.0-9.1],5.5,3.0,9.1,,2017-11-17T08:28:38+01:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3647195,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2013,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.6 [6.1-11.6],8.6,6.1,11.6,,2017-11-17T08:36:25+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
4427905,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2008,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.0 [5.7-10.8],8.0,5.7,10.8,,2017-11-17T08:28:38+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
4763337,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2005,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.8 [5.7-10.3],7.8,5.7,10.3,,2017-11-17T08:28:38+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
4821019,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1986,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.4 [2.8-9.1],5.4,2.8,9.1,,2017-11-17T08:28:38+01:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
4846451,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2004,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.0 [5.9-10.6],8.0,5.9,10.6,,2017-11-17T08:25:42+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
5139085,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1998,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.9 [4.8-9.6],6.9,4.8,9.6,,2017-11-17T08:25:42+01:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1390295,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1993,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.2 [4.5-8.2],6.2,4.5,8.2,,2017-11-17T08:32:54+01:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1526429,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1990,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.0 [3.6-9.1],6.0,3.6,9.1,,2017-11-17T08:28:38+01:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
2052757,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1985,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.9 [3.0-7.3],4.9,3.0,7.3,,2017-11-17T08:31:29+01:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
2643154,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1984,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.7 [2.8-7.3],4.7,2.8,7.3,,2017-11-17T08:31:18+01:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3314744,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2006,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.3 [6.1-11.1],8.3,6.1,11.1,,2017-11-17T08:25:42+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
