State,Diabetes_Prevalence_2021,Pre_Diabetes_2021,Hypertension_2021,Obesity_2021,Region,Tier,Population_2024,Total_Hospitals,Hospitals_per_Million,Healthcare_Access_Score,Diagnosis_Rate_Adjusted,Treatment_Rate_Adjusted,Adult_Pop,Total_Diabetics,Diagnosed_Patients,Treated_Patients,Compliant_Patients,Treatment_Gap,Treatment_Gap_Pct,Annual_Demand,Annual_Revenue,Revenue_Cr,Opportunity_Patients,Opportunity_Revenue_Cr,Market_Tier,Priority_Score,Rank
Maharashtra,0.118,0.155,0.355,0.32,West,Mixed,126000000,4807,38.15079365,0.557590664,0.577277199,0.654397666,78120000,9218160,5321433.585,3482333.718,2716220.3,5735826.282,0.622231148,991420409.4,11897044913,1189.704491,5735826.282,2512.291912,Tier-3 (Mid),87.47099874,1
Tamil Nadu,0.149,0.142,0.345,0.32,South,Mixed,78000000,2399,30.75641026,0.440769676,0.542230903,0.625192419,48360000,7205640,3907120.682,2442702.231,1905307.74,4762937.769,0.66100135,695437325.1,8345247901,834.5247901,4762937.769,2086.166743,Tier-3 (Mid),67.03248126,2
West Bengal,0.137,0.155,0.295,0.28,East,Mixed,99000000,1164,11.75757576,0.140614478,0.452184343,0.55015362,61380000,8409060,3802445.275,2091929.031,1631704.644,6317130.969,0.751229147,595572195.2,7146866342,714.6866342,6317130.969,2766.903364,Tier-3 (Mid),66.84133676,3
Uttar Pradesh,0.048,0.085,0.225,0.16,North,Rural,240000000,3158,13.15833333,0.162744502,0.458823351,0.555686126,148800000,7142400,3277099.9,1821038.947,1420410.378,5321361.053,0.74503823,518449788.1,6221397457,622.1397457,5321361.053,2330.756141,Tier-3 (Mid),57.86714122,4
Gujarat,0.099,0.155,0.265,0.28,West,Mixed,72000000,3807,52.875,0.790212674,0.647063802,0.712553168,44640000,4419360,2859607.884,2037622.658,1589345.674,2381737.342,0.538932638,580111170.8,6961334050,696.133405,2381737.342,1043.200956,Tier-3 (Mid),54.29064102,5
Kerala,0.255,0.115,0.395,0.39,South,Urban,36000000,890,24.72222222,0.345437886,0.513631366,0.601359471,22320000,5691600,2923384.281,1758004.826,1371243.764,3933595.174,0.691122913,500503974,6006047688,600.6047688,3933595.174,1722.914686,Tier-3 (Mid),52.00964687,6
Karnataka,0.115,0.145,0.305,0.28,South,Mixed,68000000,2226,32.73529412,0.472033292,0.551609988,0.633008323,42160000,4848400,2674425.865,1692933.832,1320488.389,3155466.168,0.650826287,481978261.9,5783739143,578.3739143,3155466.168,1382.094182,Tier-3 (Mid),48.86700994,7
Bihar,0.062,0.085,0.215,0.16,East,Rural,130000000,1039,7.992307692,0.081128472,0.434338542,0.535282118,80600000,4997200,2170476.56,1161817.29,906217.4866,3835382.71,0.767506345,330769382.6,3969232591,396.9232591,3835382.71,1679.897627,Tier-4 (Emerging),39.25344054,8
Andhra Pradesh,0.121,0.135,0.315,0.3,South,Mixed,53000000,1380,26.03773585,0.366221174,0.519866352,0.606555294,32860000,3976060,2067019.808,1253761.807,977934.2091,2722298.193,0.684672312,356945986.3,4283351836,428.3351836,2722298.193,1192.366609,Tier-4 (Emerging),38.9633816,9
Haryana,0.105,0.165,0.395,0.35,North,Mixed,30000000,1669,55.63333333,0.833790509,0.660137153,0.723447627,18600000,1953000,1289247.859,932703.3049,727508.5778,1020296.695,0.522425343,265540630.9,3186487571,318.6487571,1020296.695,446.8899525,Tier-4 (Emerging),33.84986007,10
Punjab,0.131,0.165,0.405,0.4,North,Mixed,31000000,1201,38.74193548,0.566929884,0.580078965,0.656732471,19220000,2517820,1460534.42,959180.3783,748160.6951,1558639.622,0.619043308,273078653.7,3276943844,327.6943844,1558639.622,682.6841543,Tier-4 (Emerging),32.22555895,11
Telangana,0.113,0.142,0.325,0.3,South,Mixed,39000000,1175,30.12820513,0.430844907,0.539253472,0.622711227,24180000,2732340,1473423.832,917517.5623,715663.6986,1814822.438,0.664200809,261217250,3134607000,313.4607,1814822.438,794.8922277,Tier-4 (Emerging),30.64744403,12
