Year,Is_Forecast,State,Region,Tier,Market_Tier,State_Population,State_Demand,State_Demand_M,State_Revenue,State_Revenue_Cr,State_Patients,State_Prevalence,State_Diagnosis_Rate,State_Treatment_Rate,State_Healthcare_Score,State_Hospitals,State_Priority_Score,Treatment_Gap_M,Opportunity_Cr
2010.0,0.0,Maharashtra,West,Mixed,Tier-3 (Mid),103386471.26892437,31395024.703454707,31.395024703454705,376740296.4414565,37.67402964414565,86013.76631083482,0.118,0.5772771990740742,0.6543976658950618,0.557590663580247,4807.0,87.47099874188623,5.735826282487743,2512.291911729631
2010.0,0.0,West Bengal,East,Mixed,Tier-3 (Mid),81232227.42558344,28639408.12839361,28.639408128393608,343672897.5407233,34.36728975407233,78464.13185861263,0.137,0.4521843434343435,0.5501536195286195,0.1406144781144781,1164.0,66.84133675648208,6.317130968899253,2766.9033643778725
2010.0,0.0,Tamil Nadu,South,Mixed,Tier-3 (Mid),64001148.88076271,24540824.394911934,24.540824394911933,294489892.7389432,29.448989273894323,67235.13532852585,0.149,0.5422309027777779,0.6251924189814815,0.4407696759259259,2399.0,67.03248126437484,4.762937769385496,2086.166742990847
2010.0,0.0,Uttar Pradesh,North,Rural,Tier-3 (Mid),196926611.94080833,24325442.869504858,24.325442869504858,291905314.4340583,29.19053144340583,66645.04895754757,0.048,0.4588233506944445,0.5556861255787038,0.1627445023148148,3158.0,57.86714121698451,5.321361053434642,2330.756141404373
2010.0,0.0,Kerala,South,Urban,Tier-3 (Mid),29538991.791121252,19384337.286636684,19.384337286636683,232612047.43964022,23.261204743964022,53107.77338804571,0.255,0.5136313657407408,0.6013594714506173,0.3454378858024691,890.0,52.009646869954,3.933595173780457,1722.91468611584
2010.0,0.0,Bihar,East,Rural,Tier-4 (Emerging),106668581.46793784,17019363.67432371,17.01936367432371,204232364.09188455,20.423236409188455,46628.393628284146,0.062,0.4343385416666667,0.5352821180555556,0.0811284722222222,1039.0,39.25344053749386,3.835382709550229,1679.8976267830003
2010.0,0.0,Karnataka,South,Mixed,Tier-3 (Mid),55795873.383229025,16512583.61454236,16.51258361454236,198151003.37450835,19.815100337450836,45239.955108335234,0.115,0.5516099877450981,0.633008323120915,0.4720332924836601,2226.0,48.86700994464744,3.1554661681489002,1382.0941816492184
2010.0,0.0,Gujarat,West,Mixed,Tier-3 (Mid),59077983.582242504,15051367.775506131,15.051367775506131,180616413.30607358,18.061641330607358,41236.62404248255,0.099,0.6470638020833335,0.7125531684027778,0.7902126736111112,3807.0,54.29064101942651,2.381737341599029,1043.2009556203743
2010.0,0.0,Andhra Pradesh,South,Mixed,Tier-4 (Emerging),43487960.136928506,13541585.51407419,13.541585514074189,162499026.1688903,16.24990261688903,37100.23428513477,0.121,0.5198663522012579,0.6065552935010482,0.3662211740041928,1380.0,38.963381603502974,2.7222981934838946,1192.366608745946
2010.0,0.0,Rajasthan,North,Rural,Tier-4 (Emerging),67283259.07977618,11774190.05558673,11.774190055586729,141290280.66704077,14.129028066704077,32258.054946812957,0.068,0.4663382876016261,0.561948573001355,0.18779429200542,1209.0,30.31618919874966,2.5511535794519737,1117.4052677999643
2010.0,0.0,Madhya Pradesh,Central,Rural,Tier-4 (Emerging),71385896.82854302,10471342.98523217,10.471342985232171,125656115.82278605,12.565611582278605,28688.6109184443,0.057,0.4454340277777778,0.5445283564814815,0.1181134259259259,899.0,25.6744560197042,2.328836134982521,1020.0302271223442
2010.0,0.0,Telangana,South,Mixed,Tier-4 (Emerging),32000574.440381356,9305748.847735062,9.305748847735062,111668986.17282076,11.166898617282076,25495.202322561818,0.113,0.5392534722222223,0.6227112268518519,0.4308449074074074,1175.0,30.647444026542694,1.814822437720899,794.8922277217538
2010.0,0.0,Punjab,North,Mixed,Tier-4 (Emerging),25436354.04235441,8575140.928216947,8.575140928216948,102901691.13860337,10.290169113860337,23493.536789635473,0.131,0.5800789650537636,0.6567324708781362,0.5669298835125449,1201.0,32.22555894507172,1.5586396216876537,682.6841542991922
2010.0,0.0,Delhi,North,Urban,Tier-4 (Emerging),17231078.54482073,7937442.686325413,7.937442686325413,95249312.23590498,9.524931223590498,21746.418318699765,0.179,0.5322135416666667,0.6168446180555556,0.4073784722222222,601.5,26.848598197312747,1.5654667629441257,685.674442169527
2010.0,0.0,Odisha,East,Rural,Tier-4 (Emerging),38564794.8384083,7542576.556412444,7.5425765564124445,90510918.67694934,9.051091867694934,20664.593305239574,0.076,0.4688630319148937,0.5640525265957447,0.1962101063829787,718.0,20.96625809251514,1.628948825035655,713.4795853656169
2010.0,0.0,Assam,Northeast,Rural,Tier-4 (Emerging),29538991.791121252,6917547.816015445,6.917547816015444,83010573.79218534,8.301057379218534,18952.18579730259,0.091,0.4205512152777778,0.5237926793981482,0.0351707175925925,183.0,15.870688596434556,1.5837015393691563,693.6612742436905
2010.0,0.0,Haryana,North,Mixed,Tier-4 (Emerging),24615826.49260104,6651488.284630234,6.651488284630235,79817859.41556282,7.981785941556282,18223.25557432941,0.105,0.6601371527777778,0.7234476273148148,0.8337905092592593,1669.0,33.84986007010441,1.020296695114452,446.88995246013
2010.0,0.0,Jharkhand,East,Rural,Tier-4 (Emerging),32000574.440381356,5435216.141154992,5.435216141154992,65222593.69385991,6.522259369385991,14891.003126452035,0.066,0.4545486111111111,0.5521238425925926,0.1484953703703704,478.0,15.139472088583814,1.1953665832594764,523.5705634676506
2010.0,0.0,Chhattisgarh,Central,Rural,Tier-4 (Emerging),24615826.49260104,3864197.955832803,3.864197955832803,46370375.46999364,4.637037546999364,10586.84371461042,0.061,0.4667621527777778,0.5623017939814815,0.1892071759259259,445.0,12.503386550951324,0.8368115271663487,366.5234488988607
2010.0,0.0,Uttarakhand,North,Mixed,Tier-5 (Small),9846330.597040417,2001781.2361363373,2.0017812361363374,24021374.83363605,2.402137483363605,5484.332153798185,0.079,0.5504947916666667,0.6320789930555556,0.4683159722222222,390.0,14.142192710128484,0.3832452676502549,167.86142723081167
2010.0,0.0,Himachal Pradesh,North,Rural,Tier-5 (Small),6153956.62315026,1298623.9031897127,1.2986239031897127,15583486.838276552,1.5583486838276552,3557.873707369076,0.082,0.702951388888889,0.7591261574074075,0.9765046296296298,485.0,22.993292088999933,0.17782734363456063,77.88837651193755
2010.0,0.0,Goa,West,Urban,Tier-5 (Small),1312844.079605389,891932.9052151782,0.8919329052151781,10703194.86258214,1.070319486258214,2443.6517951100773,0.264,0.6452864583333334,0.7110720486111112,0.7842881944444445,84.0,17.96343892123403,0.14172195772491317,62.07421748351197
2010.0,0.0,Puducherry,South,Urban,Tier-5 (Small),1312844.079605389,888554.3714833026,0.8885543714833025,10662652.457799632,1.0662652457799633,2434.395538310418,0.263,0.5356835937500001,0.619736328125,0.4189453125,47.0,10.477348359304504,0.1742830719141174,76.33598549838342
2010.0,0.0,Tripura,Northeast,Rural,Tier-5 (Small),3446215.7089641457,833653.1983403228,0.8336531983403228,10003838.380083874,1.0003838380083874,2283.981365315953,0.094,0.4427256944444445,0.5422714120370371,0.1090856481481481,41.0,4.034540628752206,0.18601079292668424,81.4727273018877
2010.0,0.0,Manipur,Northeast,Rural,Tier-5 (Small),2625688.159210778,574350.7344188647,0.5743507344188648,6892208.813026378,0.6892208813026378,1573.5636559420952,0.085,0.4245996093750001,0.5271663411458334,0.0486653645833333,19.0,2.2357054743582765,0.1308925292571869,57.330927814647865
2010.0,0.0,Chandigarh,North,Urban,Tier-5 (Small),984633.0597040417,519449.56127588503,0.519449561275885,6233394.735310621,0.6233394735310621,1423.1494829476303,0.205,0.6334375000000001,0.7011979166666666,0.7447916666666667,60.0,16.2107790974374,0.08477594575976562,37.13186424277733
2010.0,0.0,Meghalaya,Northeast,Rural,Tier-5 (Small),2871846.424136788,509947.4351549847,0.5099474351549848,6119369.221859816,0.6119369221859816,1397.1162606985883,0.069,0.4804166666666667,0.5736805555555555,0.2347222222222222,62.0,5.855243477697547,0.10846355850434028,47.50703862490104
2010.0,0.0,Nagaland,Northeast,Rural,Tier-5 (Small),1887213.3644327465,364248.1679678462,0.3642481679678462,4370978.015614155,0.4370978015614155,997.9401862132773,0.075,0.4253079710144928,0.5277566425120773,0.0510265700483091,14.0,1.8214774555411104,0.08294409852600391,36.32951515438972
2010.0,0.0,Mizoram,Northeast,Rural,Tier-5 (Small),1066685.8146793784,255290.45511485566,0.25529045511485565,3063485.4613782684,0.30634854613782686,699.4259044242622,0.093,0.7100000000000001,0.765,1.0,86.0,20.684493104728272,0.03424456229999999,14.999118287399996
2010.0,0.0,Arunachal Pradesh,Northeast,Rural,Tier-5 (Small),1312844.079605389,243254.42869504858,0.2432544286950486,2919053.144340583,0.2919053144340583,666.4504895754757,0.072,0.4260807291666667,0.528400607638889,0.0536024305555555,10.0,1.6071924423969832,0.055343506632096355,24.2404559048582
2010.0,0.0,Sikkim,Northeast,Rural,Tier-5 (Small),574369.2848273576,211369.5166004719,0.2113695166004719,2536434.1992056626,0.25364341992056627,579.0945660286901,0.143,0.41,0.515,0.0,2.0,0.4605232547748404,0.048957608699999995,21.4434326106
2011.0,0.0,Maharashtra,West,Mixed,Tier-3 (Mid),104769021.19871195,41961644.8438508,41.9616448438508,518142390.5318696,51.81423905318696,114963.4105310981,0.118,0.5772771990740742,0.6543976658950618,0.557590663580247,4807.0,87.47099874188623,5.735826282487743,2512.291911729631
2011.0,0.0,West Bengal,East,Mixed,Tier-3 (Mid),82318516.65613082,38278570.68988084,38.27857068988084,472663790.8786486,47.266379087864856,104872.79641063245,0.137,0.4521843434343435,0.5501536195286195,0.1406144781144781,1164.0,66.84133675648208,6.317130968899253,2766.9033643778725
2011.0,0.0,Tamil Nadu,South,Mixed,Tier-3 (Mid),64857013.123012155,32800527.06317151,32.80052706317151,405020908.1760417,40.50209081760417,89864.45770731922,0.149,0.5422309027777779,0.6251924189814815,0.4407696759259259,2399.0,67.03248126437484,4.762937769385496,2086.166742990847
2011.0,0.0,Uttar Pradesh,North,Rural,Tier-3 (Mid),199560040.37849894,32512654.60056236,32.51265460056236,401466259.007744,40.1466259007744,89075.76602893799,0.048,0.4588233506944445,0.5556861255787038,0.1627445023148148,3158.0,57.86714121698451,5.321361053434642,2330.756141404373
2011.0,0.0,Kerala,South,Urban,Tier-3 (Mid),29934006.056774843,25908521.634823132,25.90852163482313,319918425.146796,31.9918425146796,70982.25105430995,0.255,0.5136313657407408,0.6013594714506173,0.3454378858024691,890.0,52.009646869954,3.933595173780457,1722.91468611584
2011.0,0.0,Bihar,East,Rural,Tier-4 (Emerging),108095021.87168694,22747569.104212902,22.747569104212904,280886983.2988209,28.088698329882092,62322.10713482988,0.062,0.4343385416666667,0.5352821180555556,0.0811284722222222,1039.0,39.25344053749386,3.835382709550229,1679.8976267830003
2011.0,0.0,Karnataka,South,Mixed,Tier-3 (Mid),56542011.440574706,22070222.13336785,22.070222133367853,272523102.9028262,27.25231029028262,60466.362009227,0.115,0.5516099877450981,0.633008323120915,0.4720332924836601,2226.0,48.86700994464744,3.1554661681489002,1382.0941816492184
2011.0,0.0,Gujarat,West,Mixed,Tier-3 (Mid),59868012.11354969,20117205.034097962,20.117205034097964,248407247.76104158,24.840724776104157,55115.630230405375,0.099,0.6470638020833335,0.7125531684027778,0.7902126736111112,3807.0,54.29064101942651,2.381737341599029,1043.2009556203743
