Year,Population,Population_Cr,Growth_Rate,prevalence,diagnosis_rate,treatment_rate,market_share,compliance,Elderly_Pop,Adult_Pop,Patients,Annual_Demand,Demand_Worst,Demand_Base,Demand_Best,Revenue,Demand_Mean,Annual_Demand_M,Revenue_Cr
2010,1230984500,123.1,0.015,0.06,0.7,0.6,0.1,0.8,246196900,615492250,2481664.752,905807634.5,1358711452,2264519086,3170326721,10869691614,3046949812,905.81,1086.97
2011,1247446011,124.74,0.013,0.061,0.7,0.6,0.11,0.8,249489202.2,623723005.5,2812441.879,1026541286,1399829026,2333048377,3266267727,12318495428,3087695571,1026.54,1231.85
2012,1263589639,126.35,0.013,0.062,0.7,0.6,0.12,0.8,252717927.8,631794819.5,3158771.923,1152951752,1441189690,2401982817,3362775943,13835421023,3127654501,1152.95,1383.54
2013,1279498874,127.95,0.0126,0.063,0.7,0.6,0.13,0.8,255899774.8,639749437,3520976.181,1285156306,1482872661,2471454435,3460036209,15421875675,3167033259,1285.16,1542.19
2014,1295291543,129.53,0.0123,0.064,0.7,0.6,0.14,0.8,259058308.6,647645771.5,3899552.908,1423336811,1525003726,2541672877,3558342028,17080041736,3206123491,1423.34,1708
2015,1311050527,131.11,0.0122,0.065,0.7,0.6,0.15,0.8,262210105.4,655525263.5,4295001.527,1567675557,1567675557,2612792595,3657909633,18812106686,3245130346,1567.68,1881.21
2016,1326810424,132.68,0.012,0.066,0.7,0.6,0.16,0.8,265362084.8,663405212,4707735.674,1718323521,1610928301,2684880502,3758832702,20619882252,3284139460,1718.32,2061.99
2017,1342512706,134.25,0.0118,0.067,0.7,0.6,0.17,0.8,268502541.2,671256353,5137849.826,1875315187,1654689871,2757816451,3860943031,22503782240,3323005965,1875.32,2250.38
2018,1358199847,135.82,0.0117,0.068,0.7,0.6,0.18,0.8,271639969.4,679099923.5,5585787.019,2038812262,1699010218,2831683697,3964357176,24465747142,3361834993,2038.81,2446.57
2019,1373460214,137.35,0.0112,0.069,0.7,0.6,0.19,0.8,274692042.8,686730107,6050037.304,2208263616,1743366013,2905610021,4067854030,26499163393,3399607664,2208.26,2649.92
2020,1380004385,138,0.0047,0.07,0.7,0.6,0.2,0.8,276000877,690002192.5,6491540.627,2369412329,1777059247,2961765411,4146471576,28432947946,3415805886,2369.41,2843.29
2021,1393409038,139.34,0.0097,0.071,0.7,0.6,0.21,0.8,278681807.6,696704519,6980644.862,2547935375,1819953839,3033256398,4246558958,30575224496,3448985268,2547.94,3057.52
2022,1407563842,140.76,0.0101,0.072,0.7,0.6,0.22,0.8,281512768.4,703781921,7491392.582,2734358293,1864335199,3107225332,4350115465,32812299511,3484021434,2734.36,3281.23
2023,1428627663,142.86,0.015,0.073,0.7,0.6,0.23,0.8,285725532.6,714313831.5,8059517.243,2941723794,1918515518,3197525863,4476536208,35300685525,3536158895,2941.72,3530.07
2024,1438069596,143.81,0.0066,0.074,0.7,0.6,0.24,0.8,287613919.2,719034798,8581478.984,3132239829,1957649893,3262749822,4567849751,37586877952,3559529697,3132.24,3758.69
